기관명,기관유형,주무부처,임직원수,신규채용인원,직원평균보수,임원평균연봉,소재지,채용률,임원연봉_직원보수_비율
한국건강가정진흥원,기타공공기관,성평등가족부,83.0,10.0,46706.0,149801.0,서울특별시,0.12048192771084337,3.2073181175866057
한국건강증진개발원,기타공공기관,보건복지부,165.0,9.0,51119.0,196017.0,서울특별시,0.05454545454545454,3.8345233670455214
한국고용노동교육원,기타공공기관,고용노동부,118.0,6.0,75570.0,160628.0,경기도,0.05084745762711865,2.1255524679105466
한국고용정보원,준정부기관(위탁집행형),고용노동부,525.0,21.75,65867.0,138726.0,충청북도,0.041428571428571426,2.106153308940744
한국고전번역원,기타공공기관,교육부,142.0,7.0,64538.0,147639.0,서울특별시,0.04929577464788732,2.2876289937711114
한국공예디자인문화진흥원,기타공공기관,문화체육관광부,68.0,4.0,56688.0,133725.0,서울특별시,0.058823529411764705,2.3589648602878914
한국공정거래조정원,기타공공기관,공정거래위원회,121.0,10.0,59441.0,185512.0,서울특별시,0.08264462809917356,3.1209434565367338
한국공항공사,공기업(시장형),국토교통부,2749.0,171.0,69998.0,118504.0,서울특별시,0.06220443797744635,1.692962656075888
한국과학기술기획평가원,기타공공기관,과학기술정보통신부,317.0,11.0,87822.0,210140.0,충청북도,0.03470031545741325,2.392794516180456
한국과학창의재단,기타공공기관,과학기술정보통신부,179.8,5.0,75085.0,223081.0,서울특별시,0.027808676307007785,2.971046147699274
한국관광공사,준정부기관(위탁집행형),문화체육관광부,759.0,28.0,84880.0,156093.0,강원도,0.03689064558629776,1.8389844486333649
한국광해광업공단,공기업(준시장형),산업통상부,789.88,25.0,85536.0,123219.0,강원도,0.03165037727249709,1.4405513468013469
한국교육개발원,기타공공기관,국무조정실,228.0,4.0,94596.0,155765.0,충청북도,0.017543859649122806,1.646634107150408
한국교육과정평가원,기타공공기관,국무조정실,355.0,19.0,92466.0,157599.0,충청북도,0.05352112676056338,1.704399454934787
한국교육학술정보원,기타공공기관,교육부,337.0,5.0,77268.0,207581.0,대구광역시,0.01483679525222552,2.686506703939535
한국교통안전공단,준정부기관(위탁집행형),국토교통부,1895.3,77.0,79352.0,196813.0,경상북도,0.04062681369704005,2.480252545619518
한국교통연구원,기타공공기관,국무조정실,245.0,3.0,92076.0,157226.0,세종특별자치시,0.012244897959183673,1.707567661497024
한국국방연구원,기타공공기관,국방부,510.0,19.0,96856.0,216712.0,서울특별시,0.03725490196078431,2.23746592880152
한국국제교류재단,기타공공기관,외교부,149.0,12.0,71542.0,166458.0,제주특별자치도,0.08053691275167785,2.326717173129071
한국국제보건의료재단,기타공공기관,보건복지부,100.0,1.0,59676.0,134880.0,서울특별시,0.01,2.260205107580937
한국국제협력단,준정부기관(위탁집행형),외교부,620.0,41.0,73170.0,156000.0,경기도,0.06612903225806452,2.132021320213202
한국국토정보공사,준정부기관(위탁집행형),국토교통부,4566.0,7.0,80871.0,142582.0,전라북도,0.0015330705212439773,1.7630794722459224
한국기상산업기술원,기타공공기관,기상청,162.0,17.0,56135.0,197739.0,대전광역시,0.10493827160493827,3.5225616816602834
한국기술교육대학교,기타공공기관,고용노동부,638.6,26.0,80771.0,183786.0,충청남도,0.04071406201064829,2.275395872280893
한국나노기술원,기타공공기관,과학기술정보통신부,89.5,1.0,108440.0,181482.0,경기도,0.0111731843575419,1.6735706381409075
한국남동발전(주),공기업(시장형),기후에너지환경부,2882.0,75.0,96484.0,172832.0,경상남도,0.0260235947258848,1.7913021848182082
한국남부발전(주),공기업(시장형),기후에너지환경부,2713.0,126.0,99777.0,213444.0,부산광역시,0.04644305197198673,2.1392104392795934
한국노동연구원,기타공공기관,국무조정실,149.0,3.0,75613.0,155324.0,세종특별자치시,0.020134228187919462,2.05419702961131
한국노인인력개발원,기타공공기관,보건복지부,181.0,24.0,57281.0,197413.0,경기도,0.13259668508287292,3.4463958380614863
한국농수산식품유통공사,준정부기관(위탁집행형),농림축산식품부,927.0,48.0,76348.0,170267.0,전라남도,0.05177993527508091,2.2301435532037512
한국농어촌공사,준정부기관(위탁집행형),농림축산식품부,6580.0,169.0,71966.0,142489.0,전라남도,0.025683890577507598,1.9799488647416836
한국농업기술진흥원,기타공공기관,농촌진흥청,332.0,10.0,67576.0,206863.0,전라북도,0.030120481927710843,3.0611903634426425
한국농촌경제연구원,기타공공기관,국무조정실,163.0,6.0,87551.0,155755.0,전라남도,0.03680981595092025,1.7790202282098435
한국데이터산업진흥원,기타공공기관,과학기술정보통신부,97.0,7.0,68668.0,175351.0,서울특별시,0.07216494845360824,2.553605755228054
한국도로공사,공기업(시장형),국토교통부,9075.0,179.0,88499.0,166439.0,경상북도,0.019724517906336086,1.8806879173775974
한국도로공사서비스(주),기타공공기관,국토교통부,5279.0,263.0,48754.0,160000.0,경기도,0.04982004167455958,3.2817820076301434
한국도로교통공단,준정부기관(위탁집행형),경찰청,3041.0,108.0,64103.0,129477.0,강원도,0.03551463334429464,2.0198274651732366
한국도박문제예방치유원,기타공공기관,문화체육관광부,92.0,2.0,60136.0,131907.0,서울특별시,0.021739130434782608,2.1934781162697883
한국동서발전(주),공기업(시장형),기후에너지환경부,2596.0,122.0,96175.0,162091.0,울산광역시,0.04699537750385208,1.6853756173641798
한국등산·트레킹지원센터,기타공공기관,산림청,43.0,10.0,52037.0,133305.0,대전광역시,0.23255813953488372,2.561734919384284
한국디자인진흥원,기타공공기관,산업통상부,186.0,10.0,63604.0,154140.0,경기도,0.053763440860215055,2.4234324885227343
한국로봇산업진흥원,기타공공기관,산업통상부,122.0,3.0,76084.0,154140.0,대구광역시,0.02459016393442623,2.025918721413175
한국마사회,공기업(준시장형),농림축산식품부,2865.6,51.0,94208.0,138921.0,경기도,0.017797319932998327,1.4746199898097827
