institution,quarter,quarter_avg_quit_probability
한전MCS(주),2024Q4,0.3569
한전원자력연료주식회사,2024Q1,0.47
한전원자력연료주식회사,2024Q2,0.4075
한전원자력연료주식회사,2024Q3,0.4175
한전원자력연료주식회사,2024Q4,0.4562
항공안전기술원,2024Q1,0.4275
항공안전기술원,2024Q2,0.37
항공안전기술원,2024Q3,0.355
항공안전기술원,2024Q4,0.3786
해양수산과학기술진흥원,2024Q1,0.43
해양수산과학기술진흥원,2024Q2,0.5
해양수산과학기술진흥원,2024Q3,0.4225
해양수산과학기술진흥원,2024Q4,0.455
해양환경공단,2024Q1,0.4325
해양환경공단,2024Q2,0.5117
해양환경공단,2024Q3,0.37
해양환경공단,2024Q4,0.4267
